,x,y,z,t,activity
359,0.37,-0.91,0.1,15161,Standing
360,0.37,-0.91,0.1,15202,Standing
361,0.39,-0.92,0.1,15243,Standing
362,0.38,-0.92,0.1,15284,Standing
363,0.4,-0.92,0.09,15325,Standing
364,0.39,-0.93,0.09,15366,Standing
365,0.39,-0.93,0.09,15407,Standing
366,0.39,-0.93,0.1,15447,Standing
367,0.39,-0.93,0.09,15488,Standing
368,0.38,-0.93,0.09,15528,Standing
369,0.38,-0.94,0.1,15569,Standing
370,0.37,-0.93,0.09,15609,Standing
371,0.38,-0.94,0.1,15649,Standing
372,0.39,-0.94,0.1,15690,Standing
373,0.37,-0.93,0.11,15730,Standing
374,0.37,-0.93,0.1,15771,Standing
375,0.4,-0.94,0.09,15812,Standing
376,0.37,-0.93,0.1,15853,Standing
377,0.37,-0.93,0.09,15894,Standing
378,0.38,-0.91,0.1,15935,Standing
379,0.36,-0.91,0.1,15976,Standing
380,0.36,-0.91,0.1,16017,Standing
381,0.37,-0.92,0.09,16058,Standing
382,0.38,-0.93,0.09,16098,Standing
383,0.37,-0.92,0.09,16139,Standing
384,0.39,-0.94,0.09,16180,Standing
385,0.38,-0.91,0.09,16221,Standing
386,0.38,-0.9,0.09,16262,Standing
387,0.39,-0.91,0.09,16303,Standing
388,0.41,-0.89,0.07,16344,Standing
389,0.39,-0.88,0.08,16385,Standing
390,0.42,-0.89,0.07,16427,Standing
391,0.39,-0.92,0.06,16467,Standing
392,0.42,-0.95,0.07,16508,Standing
393,0.44,-0.95,0.07,16549,Standing
394,0.38,-0.93,0.08,16590,Standing
395,0.36,-0.93,0.09,16631,Standing
396,0.38,-0.93,0.08,16672,Standing
397,0.38,-0.91,0.08,16713,Standing
398,0.37,-0.95,0.07,16754,Standing
399,0.4,-0.92,0.07,16795,Standing
400,0.36,-0.92,0.06,16836,Standing
401,0.39,-0.92,0.06,16877,Standing
402,0.38,-0.93,0.05,16918,Standing
403,0.38,-0.92,0.07,16959,Standing
